query_idx,encoding_ms,search_ms,generation_ms
1,24.5115,1.16871,1901.83
2,30.518,2.74067,2089.03
3,27.9192,3.44625,2119.97
4,24.6985,1.62525,2030.09
5,33.1164,1.43058,2099.13
6,26.1872,2.87892,1987.9
7,21.0921,3.3075,2170
8,29.0001,1.55558,1626.17
9,24.4649,2.25038,1994.12
10,27.6002,10.8812,2045.25
11,32.1675,1.324,2022.15
12,26.0799,1.79183,1727.43
13,24.9992,0.8915,2041.62
14,31.2126,2.9665,2021.27
15,24.4007,1.60625,2253.11
16,22.5338,3.26033,1861.19
17,28.9471,1.50204,2135.33
18,33.8897,1.10038,2610.93
19,31.5403,18.7739,1937.44
20,25.0024,0.979625,2189.1
